PUMFID,PROVINCE,REGION,G_URBRUR,GCAGEGR6,CSEX,G_CEDUC,G_CSTUD,G_CLFSST,GFAMTYPE,G_HHSIZE,G_HEDUC,G_HSTUD,EV_Q01,EV_Q02,PU_Q01,PU_Q02,PU_Q03,PU_Q06A,PU_Q06E,PU_Q06J,PU_Q06K,PU_G06
1,35,3,5,3,2,3,2,1,3,1,3,2,1,2,1,6,6,6,6,6,6,6
2,46,4,5,1,2,1,1,2,2,3,2,1,1,4,1,6,6,6,6,6,6,6
3,10,1,5,2,1,2,2,1,2,2,3,2,1,4,1,6,6,6,6,6,6,6
4,35,3,4,5,2,2,2,3,3,1,2,2,1,3,2,2,1,1,2,2,2,2
5,13,1,4,3,1,2,2,1,2,3,2,2,1,2,1,6,6,6,6,6,6,6
6,46,4,4,2,2,1,2,3,1,3,1,2,1,4,2,1,2,2,2,1,2,2
7,35,3,2,3,2,3,2,2,1,4,3,2,1,4,1,6,6,6,6,6,6,6
8,59,6,5,1,1,2,1,1,2,3,3,1,1,4,1,6,6,6,6,6,6,6
9,24,2,1,6,2,2,2,3,3,1,2,2,2,6,6,6,6,6,6,6,6,6
10,59,6,4,6,1,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
11,48,5,5,2,1,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
12,10,1,5,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
13,48,5,4,3,1,2,2,1,1,4,2,1,1,7,1,6,6,6,6,6,6,6
14,48,5,4,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
15,24,2,4,2,2,2,2,1,1,4,2,2,1,3,1,6,6,6,6,6,6,6
16,24,2,1,6,1,1,2,3,3,1,1,2,1,2,1,6,6,6,6,6,6,6
17,59,6,5,5,2,3,2,1,1,2,3,2,1,4,1,6,6,6,6,6,6,6
18,47,4,4,3,1,3,2,1,1,4,3,2,1,4,1,6,6,6,6,6,6,6
19,13,1,4,3,2,3,2,1,1,3,3,2,1,4,1,6,6,6,6,6,6,6
20,35,3,2,2,2,3,2,1,1,3,3,2,1,4,1,6,6,6,6,6,6,6
21,35,3,5,4,2,1,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
22,24,2,5,2,1,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
23,59,6,5,2,2,2,2,1,4,3,2,2,1,4,1,6,6,6,6,6,6,6
24,11,1,6,3,2,2,2,1,1,4,2,2,1,4,1,6,6,6,6,6,6,6
25,35,3,4,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
26,47,4,4,1,2,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
27,48,5,5,4,1,2,2,1,2,3,2,2,2,6,6,6,6,6,6,6,6,6
28,11,1,6,4,2,2,2,1,2,3,2,2,1,4,1,6,6,6,6,6,6,6
29,46,4,5,5,2,2,2,1,3,1,2,2,1,3,1,6,6,6,6,6,6,6
30,10,1,5,1,2,1,2,3,1,4,1,2,1,4,1,6,6,6,6,6,6,6
31,46,4,4,4,1,2,2,1,1,4,2,1,1,2,1,6,6,6,6,6,6,6
32,59,6,3,5,1,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
33,24,2,4,2,1,2,2,1,1,4,2,2,1,4,1,6,6,6,6,6,6,6
34,35,3,4,6,1,2,2,3,2,2,2,2,1,4,1,6,6,6,6,6,6,6
35,35,3,4,1,1,1,2,1,1,4,2,2,1,4,1,6,6,6,6,6,6,6
36,12,1,4,2,2,2,2,3,1,4,3,1,1,4,1,6,6,6,6,6,6,6
37,35,3,4,4,2,1,2,3,1,3,1,1,2,6,6,6,6,6,6,6,6,6
38,48,5,5,4,1,2,2,1,1,4,2,1,2,6,6,6,6,6,6,6,6,6
39,10,1,5,2,1,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
40,46,4,4,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
41,46,4,5,3,2,2,2,3,3,1,2,2,1,4,1,6,6,6,6,6,6,6
42,48,5,5,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
43,35,3,4,5,1,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
44,48,5,5,1,1,1,1,2,2,2,2,1,1,4,1,6,6,6,6,6,6,6
45,48,5,5,3,1,2,2,1,3,1,2,2,1,3,1,6,6,6,6,6,6,6
46,35,3,4,5,1,3,2,3,2,3,3,2,1,4,1,6,6,6,6,6,6,6
47,24,2,4,1,1,1,2,1,2,2,1,2,1,4,1,6,6,6,6,6,6,6
48,12,1,5,3,1,1,2,3,1,3,3,2,1,3,1,6,6,6,6,6,6,6
49,59,6,4,4,2,3,2,1,2,2,3,2,1,4,1,6,6,6,6,6,6,6
50,11,1,6,5,1,3,2,3,2,2,3,2,1,4,1,6,6,6,6,6,6,6
51,12,1,4,5,1,1,2,2,2,2,1,2,2,6,6,6,6,6,6,6,6,6
52,59,6,3,1,2,1,1,1,4,2,1,1,1,4,1,6,6,6,6,6,6,6
53,59,6,3,5,1,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
54,59,6,3,4,2,1,2,3,2,2,3,2,1,4,1,6,6,6,6,6,6,6
